number,milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
1,0,1052,838,0,0,9,21:10:01:21:49:17:428,0.0,0.0,0.0,1.0501995379122033E-4,0.0,1.0501995379122033E-4,1,0
1,138,1052,837,0,0,9,21:10:01:21:49:17:566,-0.16303775134942294,-0.00472573192317168,0.8092136431605356,0.021880168610828376,0.8254744264010987,0.022384689424871707,1,138
1,161,1048,817,0,0,9,21:10:01:21:49:17:589,-0.5857621550639067,0.006614431117081296,3.0478251707896677,-0.01667429328243921,3.1036036431870904,0.017938304141456928,1,161
1,170,1044,802,0,0,9,21:10:01:21:49:17:598,-1.6518914235498456,-0.2153133514508173,5.566685565493228,0.5940577319643591,5.806611185559801,0.631873743891627,1,170
1,177,1041,786,0,0,9,21:10:01:21:49:17:605,1.2538081486061246,0.9893907802300738,-0.06971605000456726,-2.163641867004546,1.2557448790018446,2.379125941319457,1,177
1,185,1036,769,0,0,9,21:10:01:21:49:17:613,-14.090179418132541,-3.6691376719147404,36.16899956802732,7.473320771512518,38.81661610428099,8.32544861310094,1,185
1,186,1026,748,0,0,9,21:10:01:21:49:17:614,-10.610072327777548,1.8793518526247293,22.2378404781891,-3.960638951188959,24.639301612141047,4.383905141268363,1,186
1,202,1005,707,0,0,9,21:10:01:21:49:17:630,-0.4021701654427394,-0.5064890823328784,0.2552639864668098,1.0352127230570063,0.4763407863695571,1.1524741092543047,1,202
1,217,988,679,0,0,9,21:10:01:21:49:17:645,-2.336121986400541,0.1605128975095194,4.009434575153323,-0.332531040700737,4.640369764122135,0.36924420550147663,1,217
1,240,975,658,0,0,9,21:10:01:21:49:17:668,-2.5142340587033183,-0.05186731841549499,4.4791508612300905,0.1748882224767886,5.136551892038279,0.18241740344798532,1,240
1,246,972,651,0,0,9,21:10:01:21:49:17:674,-0.982596594013545,-0.04869797113235838,1.7948113878872318,-0.16226063951700068,2.0461778966298874,0.16941076568174188,1,246
1,255,965,644,0,0,9,21:10:01:21:49:17:683,-2.2156659418772975,0.011719597533006075,2.4294389909409286,0.16501739081288389,3.288061644297304,0.16543303248453042,1,255
1,260,961,638,0,0,9,21:10:01:21:49:17:688,-1.047967110077921,-0.00464006481325563,1.5035785410859328,-0.12536157075488216,1.8327529819970751,0.125447413778055,1,260
1,276,949,630,0,0,9,21:10:01:21:49:17:704,-1.4169452613381128,0.027267795905731647,0.7790688172005249,0.015006188602539487,1.6169978650458257,0.03112424119447126,1,276
1,291,942,626,0,0,9,21:10:01:21:49:17:719,-0.7390389992483406,0.0055758460571151795,0.40650893353604456,-0.0216399040852889,0.8434620059342336,0.022346711348051867,1,291
1,310,937,624,0,0,9,21:10:01:21:49:17:738,-0.7262083285195972,0.022783061111007398,0.37940332700131324,0.014631557691051247,0.8193445068778411,0.02707674932584151,1,310
1,318,936,623,0,0,9,21:10:01:21:49:17:746,-0.430382254071502,-0.06340987583231693,0.22433378189983516,-0.03256561063308743,0.48533960308339735,0.07128345775126027,1,318
1,324,934,623,0,0,9,21:10:01:21:49:17:752,-0.5045614199156008,0.05720200573613586,-0.017637398567074702,0.007464106033006366,0.5048695913752986,0.057686933868154947,1,324
1,333,933,623,0,0,9,21:10:01:21:49:17:761,-0.04458248227770614,-2.519537507600958E-4,0.0016863199856207711,-0.0031699463546295964,0.04461436317079833,0.0031799434875091014,1,333
1,387,932,623,0,0,9,21:10:01:21:49:17:815,-0.0591248767666577,0.001342290306038981,0.08221591160375763,0.006152523821967997,0.1012679967882714,0.006297244845610651,1,387
1,403,931,624,0,0,9,21:10:01:21:49:17:831,-0.45498856891499645,-0.02738775182458132,-0.6511520137832592,-0.0665735144953451,0.794363608744327,0.07198695563966281,1,403
1,407,930,626,0,0,9,21:10:01:21:49:17:835,-0.3477473585208445,-0.012741642978342717,-0.6895489434427914,-0.015124950334421,0.7722732487671022,0.019776591931024216,1,407
1,423,926,638,0,0,9,21:10:01:21:49:17:851,-0.3442388057982359,0.03870104540200212,-1.7999025104390491,-0.039294245540111225,1.8325254166046885,0.055152594207112146,1,423
1,438,927,653,0,0,9,21:10:01:21:49:17:866,0.11034098320266794,-0.019706568484709888,-1.387306319389249,0.07854949525584215,1.391687449246948,0.08098377643942106,1,438
1,460,932,667,0,0,9,21:10:01:21:49:17:888,1.7688175596537457,0.08370030683976654,-4.162159081763039,-0.1382468538187486,4.522420124362837,0.1616104388826833,1,460
1,465,936,674,0,0,9,21:10:01:21:49:17:893,1.0975585580375367,-0.1299816852640279,-1.9078424797048292,0.2310846057531432,2.2010219707417074,0.26513267154419584,1,465
1,474,940,681,0,0,9,21:10:01:21:49:17:902,1.2786893565019408,0.12085025776229057,-2.279751322035041,-0.22731126207343721,2.6138692700194217,0.25743969131940575,1,474
1,480,945,690,0,0,9,21:10:01:21:49:17:908,1.22590384704258,-0.02038987202652199,-2.1543969030429393,0.06770717951524889,2.4787630499978826,0.07071074203519634,1,480
1,496,959,711,0,0,9,21:10:01:21:49:17:924,1.8946446154603493,0.026378301412076498,-2.6953636300361126,-0.030640520389395496,3.2946416067630704,0.04043088269033114,1,496
1,511,974,731,0,0,9,21:10:01:21:49:17:939,1.6690138593659207,-0.03728111567495939,-2.2321004159546773,0.04609315945990259,2.7870915897509665,0.059282889057178295,1,511
1,530,988,751,0,0,9,21:10:01:21:49:17:958,2.805616564390799,0.029499682962896737,-4.093984934839418,-0.05213244795350809,4.963083411859622,0.059900112057797106,1,530
1,537,995,761,0,0,9,21:10:01:21:49:17:965,2.4521846475149296,0.10761500745352154,-3.2962332291505514,-0.06007454770001281,4.108328497876501,0.12324747912465639,1,537
1,543,1003,771,0,0,9,21:10:01:21:49:17:971,2.248976158800052,-0.16741466242197292,-2.989214660503621,0.08304899121724348,3.7407616937491244,0.18688179187942558,1,543
1,550,1008,782,0,0,9,21:10:01:21:49:17:978,1.7665704294482298,-0.0010277908622212148,-4.633670719681681,-0.1753425591456687,4.958999437450689,0.17534557137780468,1,550
1,554,1010,790,0,0,9,21:10:01:21:49:17:982,0.593914722827983,-0.02280006244790218,-2.3819734423453003,0.17619119781385906,2.454899626874826,0.17766029673146067,1,554
1,570,1015,807,0,0,9,21:10:01:21:49:17:998,0.49457105392725154,-0.013055396164689244,-1.895582697820272,-0.04507985474823049,1.959039124585901,0.04693225621189057,1,570
1,586,1017,823,0,0,9,21:10:01:21:49:18:14,0.21053915670110607,0.0047091471066591575,-1.7351005282783745,0.027565721179062894,1.7478273884272173,0.02796506839959439,1,586
1,607,1019,840,0,0,9,21:10:01:21:49:18:35,0.25566611816834284,-0.015150570277579921,-2.896619968204364,-0.008368026115324926,2.9078810849447607,0.01730790688681471,1,607
1,615,1018,848,0,0,9,21:10:01:21:49:18:43,-0.525729955226366,-0.0676984480710973,-3.0232879591299726,-0.15454897161607725,3.0686580242253436,0.16872600421636882,1,615
1,620,1016,856,0,0,9,21:10:01:21:49:18:48,-0.6650082550838105,0.046272842413833816,-2.7099087955570047,0.09704349418812139,2.7903121079131687,0.1075110027359779,1,620
1,627,1014,865,0,0,9,21:10:01:21:49:18:55,-0.3855098668522259,-0.01233452740889127,-1.625191781401558,0.047059326182822644,1.6702892515296834,0.04864895422495726,1,627
1,643,1007,879,0,0,9,21:10:01:21:49:18:71,-1.1303040470244181,-0.041702245112632756,-1.7510910466594651,-0.023734234340061035,2.084204186832643,0.04798323798101828,1,643
1,659,994,894,0,0,9,21:10:01:21:49:18:87,-1.4024844713658913,0.038518507859422284,-1.6599177161711076,0.024440111177421488,2.173082952139924,0.04561791843213694,1,659
1,678,984,907,0,0,9,21:10:01:21:49:18:106,-1.7583253029853607,-0.016418650799975853,-2.1689245712117096,0.00993035837509134,2.792121356016686,0.019188124232172733,1,678
1,686,979,911,0,0,9,21:10:01:21:49:18:114,-1.7926747908293752,-0.0546687211610278,-1.251872291076946,0.013082711658599543,2.1865194119516493,0.0562123333239625,1,686
1,691,975,913,0,0,9,21:10:01:21:49:18:119,-1.17797861543868,0.10054719131730586,-0.5789621969926068,0.036081325975136205,1.312566510306177,0.10682508959005345,1,691
1,699,970,916,0,0,9,21:10:01:21:49:18:127,-2.58789820105853,-0.1613604210556016,-1.6114009099153315,-0.10669100420581736,3.048578355810776,0.19344290077872275,1,699
1,702,967,918,0,0,9,21:10:01:21:49:18:130,-1.1154962996328712,0.16518391089492962,-0.7504950071939445,0.10285049490896418,1.3444607656297254,0.19458660982082737,1,702
1,717,964,920,0,0,9,21:10:01:21:49:18:145,-0.19538673244622976,-0.044169301936710766,-0.06205536409600913,-0.012169653607017258,0.2050044961192384,0.04581514708577404,1,717
1,733,961,920,0,0,9,21:10:01:21:49:18:161,-0.2968203954759233,0.02098362854075769,-0.02853204295184367,7.350687500379409E-4,0.2981885722919129,0.020996499536917648,1,733
1,762,960,920,0,0,9,21:10:01:21:49:18:190,-0.10429998380868011,-0.00909359618637786,0.0464055890281372,0.004433043800305567,0.11415763362797646,0.010116588799409293,1,762
1,774,959,919,0,0,9,21:10:01:21:49:18:202,-0.21600512193103924,-0.012996149056237557,0.1930905591418922,0.009597784551986932,0.289727763133207,0.016156031647601564,1,774
1,790,955,914,0,0,9,21:10:01:21:49:18:218,-0.589020563688021,-0.01019328116338517,0.9120366053003203,0.049020471217816566,1.0857052978847834,0.050069048116502125,1,790
1,806,950,900,0,0,9,21:10:01:21:49:18:234,-0.44107051805371866,0.030331773709778236,1.7706051249199848,0.005257830576746776,1.8247152408770773,0.03078410756794758,1,806
1,825,949,874,0,0,9,21:10:01:21:49:18:253,-0.23307848330838823,-0.021101112355501273,5.702073442387703,0.09516582294379654,5.7068351230576555,0.09747712962130922,1,825
1,832,949,858,0,0,9,21:10:01:21:49:18:260,0.2542965741467452,0.11953480224064145,4.326264798413369,0.06503397492294723,4.333732092967151,0.13608080996594554,1,832
1,841,951,844,0,0,9,21:10:01:21:49:18:269,0.020166908290289776,-0.26045250576429824,2.0770397382422208,-0.7920222598992519,2.0771376407035,0.8337474245446398,1,841
1,846,953,829,0,0,9,21:10:01:21:49:18:274,4.6107974478301665,1.4567047215802489,27.425976173263688,6.05159683390784,27.810854394666567,6.2244528182031855,1,846
1,847,956,815,0,0,9,21:10:01:21:49:18:275,3.237552743549543,-0.5781941301414955,14.997249236518702,-2.6590507073978094,15.342725717079283,2.721187078582226,1,847
1,863,961,790,0,0,9,21:10:01:21:49:18:291,-0.22455244596712243,0.12980598145191227,-0.7220928138549292,0.6081954511011055,0.7562022433256509,0.6218933184725266,1,863
1,879,964,779,0,0,9,21:10:01:21:49:18:307,0.7981570403189469,0.012095204333846372,2.4994553522343477,-0.10185609700661256,2.623801005949885,0.10257172351724408,1,879
1,894,973,759,0,0,9,21:10:01:21:49:18:322,1.0754718868582587,-0.023453224795271444,2.481676689747566,0.030596719786152797,2.7046920290226946,0.038551433371145735,1,894
1,910,980,738,0,0,9,21:10:01:21:49:18:338,0.7785298507326107,0.018604492018695885,2.1424163404765157,-0.030884698227642754,2.279486017597504,0.03605539776352881,1,910
1,933,996,712,0,0,9,21:10:01:21:49:18:361,3.210355099947105,0.020565837510622832,5.002018367298401,0.03595946264477668,5.943615702125007,0.04142507243463107,1,933
1,940,1003,702,0,0,9,21:10:01:21:49:18:368,1.856515718024959,0.023461912779194852,2.6955019715433064,0.0488000251893687,3.2729774655300607,0.054147057258373384,1,940
1,949,1009,693,0,0,9,21:10:01:21:49:18:377,0.4869455119992607,-0.32163800794539943,0.7366181657834501,-0.4871939573335341,0.8830188298209707,0.5837884550223602,1,949
1,957,1014,683,0,0,9,21:10:01:21:49:18:385,8.687661007783076,1.3093168818913534,16.475539497767237,2.2031742903294806,18.625757851122266,2.5628670762984385,1,957
1,958,1018,676,0,0,9,21:10:01:21:49:18:386,4.2200195434881715,-0.7445998104811636,7.3848338593007865,-1.2595855672623821,8.505547370798512,1.4632104014885494,1,958
1,974,1025,660,0,0,9,21:10:01:21:49:18:402,-0.20407393646036687,0.1645047921542629,0.24868348616415137,0.2889209372869694,0.32169806936502665,0.33247125386189125,1,974
1,989,1027,652,0,0,9,21:10:01:21:49:18:417,0.5946517868362261,-0.007380009724378983,1.416885418309282,-0.03731526903959935,1.5366115436911782,0.03803805787667938,1,989
1,1012,1037,631,0,0,9,21:10:01:21:49:18:440,2.04049407438979,-0.004260673525531637,4.530137366032481,0.03393075031609678,4.968476690369348,0.034197209767822694,1,1012
1,1018,1039,625,0,0,9,21:10:01:21:49:18:446,0.5151272051303478,-0.03197272733872692,1.5879330169867483,-0.09799886666467422,1.6693972876167136,0.10308265208577616,1,1018
1,1026,1041,620,0,0,9,21:10:01:21:49:18:454,0.747636499094212,0.052600050829692956,1.5911294326852006,0.03629797058928726,1.758025371357017,0.06390859109843562,1,1026
1,1031,1043,617,0,0,9,21:10:01:21:49:18:459,0.4982268747373438,-0.04236390057244025,0.714496208156381,-0.061951260400814966,0.871053873293947,0.07505104087859933,1,1031
1,1047,1046,613,0,0,9,21:10:01:21:49:18:475,0.34245745510483444,0.01508022311837658,0.44161766689375753,0.020028942742987027,0.5588410080421492,0.02507133176961033,1,1047
1,1063,1049,609,0,0,9,21:10:01:21:49:18:491,0.28983804168542376,-0.01795699190106607,0.4170594400580624,-0.018164510571133136,0.5078825326289397,0.02554218084705689,1,1063
1,1082,1050,607,0,0,9,21:10:01:21:49:18:510,0.13126621688226253,0.010868175624463692,0.2086194089061313,0.004349031761049902,0.24648098804355031,0.011706037701238091,1,1082
1,1097,1052,606,0,0,9,21:10:01:21:49:18:525,0.47500386809961626,0.005757161998167599,0.15966725350367272,-0.012145827084552316,0.5011210497983534,0.013441206413153165,1,1097
1,1104,1053,605,0,0,9,21:10:01:21:49:18:532,0.5298421968071809,-0.05131355787763893,0.937461602074302,0.13233196749248718,1.0768319315850436,0.14193248691717653,1,1104
1,1106,1053,604,0,0,9,21:10:01:21:49:18:534,-0.008370835736722815,0.013100525333735224,0.5594114950255757,-0.07704874120788024,0.5594741206326536,0.0781545410436191,1,1106
1,1121,1054,602,0,0,9,21:10:01:21:49:18:549,0.18098773147043146,0.0038139502938853475,0.11737590234128398,0.01033288440553025,0.21571662289504634,0.01101429602753977,1,1121
1,1137,1056,601,0,0,9,21:10:01:21:49:18:565,0.24084626804138762,-0.005185799889182496,0.18675178673985673,0.005630767810958007,0.30476737797866893,0.00765493740219775,1,1137
1,1152,1057,599,0,0,9,21:10:01:21:49:18:580,0.08636762975276019,-0.005966907438190047,0.24259900127143483,-0.005962250317858706,0.25751435472029033,0.008435188985952476,1,1152
1,1168,1057,598,0,0,9,21:10:01:21:49:18:596,0.0,0.0,0.0,0.0078125,0.0,0.0078125,1,1168
2,0,966,700,0,0,9,21:10:01:21:49:20:145,0.0,2.2160664819944597E-4,0.0,2.2160664819944597E-4,0.0,3.133991273956997E-4,1,0
2,95,967,699,0,0,9,21:10:01:21:49:20:240,0.25193542579367467,0.007135969913380943,0.4152953649802956,0.014014283142291303,0.4857383029409531,0.015726480807764596,1,95
2,110,972,690,0,0,9,21:10:01:21:49:20:255,0.8391006021324692,0.04495388985576827,1.471319690331873,0.0725199543899658,1.6937743213478444,0.08532289257806058,1,110
2,129,982,673,0,0,9,21:10:01:21:49:20:274,0.0,0.055401662049861494,0.0,0.09418282548476455,0.0,0.10926915746989485,1,129
2,372,926,563,0,0,9,21:10:01:21:49:20:517,0.0,3.0,0.0,4.0,0.0,5.0,2,0
2,374,932,555,0,0,9,21:10:01:21:49:20:519,4.5186765594928335,-0.7126468810143316,6.000011365085101,-0.999977269829799,7.511229874691652,1.2279332706607935,2,2
2,390,946,543,0,0,9,21:10:01:21:49:20:535,0.9721552624623183,0.19954005221885043,0.04979542846819107,0.21870027775268527,0.9734297298878383,0.29605074552955146,2,18
2,405,958,540,0,0,9,21:10:01:21:49:20:550,1.4258057501006518,-0.09460887608929484,0.6101570599184786,-0.05731872689264693,1.5508751319137346,0.11061770151053307,2,33
2,425,969,540,0,0,9,21:10:01:21:49:20:570,2.166699482913867,0.1064760271483941,-0.3471268509104879,-0.023409664190249705,2.19432989768682,0.1090190659233779,2,53
2,434,976,542,0,0,9,21:10:01:21:49:20:579,0.7430144675600479,-0.32408504290603285,-0.08929169821178928,0.1300890808393432,0.7483605457084751,0.34921953552032325,2,62
2,443,986,546,0,0,9,21:10:01:21:49:20:588,9.861242646845941,1.4120863666979595,-4.184595245131244,-0.6450948073152712,10.712373402077999,1.5524610196199358,2,71
2,445,997,551,0,0,9,21:10:01:21:49:20:590,6.052928339610158,-0.9079006739337421,-2.7982147024222415,0.3439753500242733,6.668429125761762,0.9708772709017677,2,73
2,461,1017,567,0,0,9,21:10:01:21:49:20:606,1.5323487122496193,0.2725157205136746,-1.7803733953497034,-0.13080768664020606,2.3490044705794193,0.3022837554537947,2,89
2,477,1039,588,0,0,9,21:10:01:21:49:20:622,2.3801768113913644,-0.13528720812095643,-2.2848371707243995,0.06206789653655088,3.2993518378931705,0.14884573377035354,2,105
2,499,1063,618,0,0,9,21:10:01:21:49:20:644,8.000532939275065,0.19168321974674735,-9.613072520453262,-0.133229787834216,12.506785781963282,0.23343657189658615,2,127
2,503,1071,626,0,0,9,21:10:01:21:49:20:648,2.5044565708452655,-0.3841658484060911,-2.3962842723139355,0.4360683563483232,3.4661911414388493,0.5811531730016622,2,131
2,512,1076,629,0,0,9,21:10:01:21:49:20:657,0.8785633348670372,0.06165694587830128,-0.37608826528878997,-0.08942867930217095,0.9556756336020192,0.1086235133696674,2,140
2,519,1078,630,0,0,9,21:10:01:21:49:20:664,0.3445343371521887,-0.019225321642634394,-0.23641039345212322,0.011422810484529262,0.4178442097350228,0.022362772449502275,2,147
2,582,1078,629,0,0,9,21:10:01:21:49:20:727,-0.019978979069330473,0.008661280865634793,0.2538752725145902,-3.303454021896433E-4,0.2546601924113978,0.00866757834219912,2,210
2,590,1078,620,0,0,9,21:10:01:21:49:20:735,0.005312834676121775,-0.0023383274292717304,6.118570836579579,0.7477542364184367,6.118573143180885,0.7477578925406846,2,218
2,593,1078,609,0,0,9,21:10:01:21:49:20:738,-0.007118178208335962,-0.005949014493700089,4.328726972213189,-0.3993168126626968,4.328732824791451,0.39936112435806964,2,221
2,609,1076,576,0,0,9,21:10:01:21:49:20:754,-0.4465048609670607,-0.03230765418447384,4.299580556875197,0.206611010745448,4.322702806801139,0.20912172120599806,2,237
2,624,1070,536,0,0,9,21:10:01:21:49:20:769,-0.5922191035663829,0.02988391942243862,3.9903867404413527,-0.1863875775743084,4.03409343036563,0.18876805268388408,2,252
2,647,1057,498,0,0,9,21:10:01:21:49:20:792,-3.9766181705731047,-0.12077684396366581,10.197466269917493,0.21649279185767792,10.945401335749969,0.24790355980533144,2,275
2,652,1050,485,0,0,9,21:10:01:21:49:20:797,-2.019821548944626,0.21349549261505718,3.6888354805208188,-0.4299451076163477,4.205613664131588,0.48003449972911194,2,280
2,660,1044,476,0,0,9,21:10:01:21:49:20:805,-1.8143388725709761,-0.13087482352164467,2.4671094694237525,0.15576360484208115,3.0624262731766247,0.20344660239291695,2,288
2,666,1038,469,0,0,9,21:10:01:21:49:20:811,-1.3536977842931135,0.07608851961426559,1.5359902466262512,-0.11197001244124836,2.047379722701936,0.1353763144098102,2,294
2,682,1029,461,0,0,9,21:10:01:21:49:20:827,-0.9013125883278978,0.0038971298813863476,0.6987796062774847,-4.938176023474474E-4,1.1404636425715864,0.003928291885385116,2,310
2,698,1024,458,0,0,9,21:10:01:21:49:20:843,-0.5688296401730727,0.002072960860189013,0.3355579949304769,-0.0032422171493618557,0.6604288966279332,0.003848264384302577,2,326
2,716,1017,455,0,0,9,21:10:01:21:49:20:861,-1.6032195896177779,-0.036758263884909326,0.6199687263880648,0.005742880433009182,1.7189165989754813,0.037204175027817366,2,344
2,723,1014,454,0,0,9,21:10:01:21:49:20:868,-0.18139041365077813,0.22321495152383225,0.10259982834570092,-0.053091607974155505,0.2083967536718547,0.22944200448276292,2,351
2,736,1010,452,0,0,9,21:10:01:21:49:20:881,-4.472731742218738,-0.6112319606526307,1.755280410525224,0.16533832475917093,4.804824508494006,0.6331992351206911,2,364
2,738,1004,450,0,0,9,21:10:01:21:49:20:883,-6.443304554909895,-0.35934085203852717,2.324100854190381,0.4034821189059861,6.8496436672115335,0.5402996096802578,2,366
